tc_cellu,tc_cellv,tc_x,tc_y
4.0,7.0,-7.33155639679326,-3.134740814208989
5.0,7.0,-7.331552582095995,-0.7323741760253952
6.0,7.0,-7.331548767398729,1.6699924621581985
7.0,7.0,-7.331541138004198,4.072355285644527
3.0,6.0,-5.944555359195604,-4.736322387695317
4.0,6.0,-5.251047211002245,-1.9335651245117234
5.0,6.0,-5.251043396304979,0.4688015136718704
6.0,6.0,-5.251035766910448,2.8711719665527298
7.0,6.0,-5.251028137515917,5.2735386047363235
2.0,5.0,-3.864049988101854,-5.93750952148438
3.0,5.0,-3.864042358707323,-3.535142883300786
4.0,5.0,-3.1705342105139636,-0.7323818054199265
5.0,5.0,-3.170530395816698,1.669977203369136
6.0,5.0,-3.1705227664221667,4.072347656249995
7.0,5.0,-3.1705151370276354,6.474714294433589
1.0,4.0,-1.7835408023108386,-7.138696655273442
2.0,4.0,-1.783536987613573,-4.736333831787114
3.0,4.0,-1.7835293582190417,-2.3339633789062546
4.0,4.0,-1.0900212100256823,0.46879388427733915
5.0,4.0,-1.0900173953284167,2.8711567077636673
6.0,4.0,-1.0900097659338854,5.273523345947261
7.0,4.0,-1.0900021365393542,7.675889984130855
0.0,3.0,0.29696456878291144,-8.33988760375977
1.0,3.0,0.29696838348017707,-5.937517150878911
2.0,3.0,0.2969760128747083,-3.5351543273925827
3.0,3.0,0.29698364226923957,-1.132787689208989
4.0,3.0,0.9904879757653333,0.8691845092773391
5.0,3.0,0.9904917904625989,3.271551147460933
6.0,3.0,0.9905032345543958,5.673913970947261
7.0,3.0,0.9905070492516614,8.076280609130855
0.0,2.0,2.377473754573927,-7.138704284667973
1.0,2.0,2.3774813839684583,-4.736341461181645
2.0,2.0,2.3774890133629896,-2.333978637695317
3.0,2.0,3.0709933468590833,-0.332006439208989
4.0,2.0,3.0710009762536146,2.0703601989746048
5.0,2.0,3.071008605648146,4.472723022460933
6.0,2.0,3.0710124203454114,6.875089660644527
0.0,1.0,4.457990569759474,-5.937528594970708
1.0,1.0,4.457998199154005,-3.5351657714843796
2.0,1.0,5.151502532650099,-1.533197387695317
3.0,1.0,5.15151016204463,0.8691692504882766
4.0,1.0,5.151517791439161,3.2715358886718704
5.0,1.0,5.151521606136427,5.67390634155273
0.0,0.0,6.538503570247755,-4.736352905273442
1.0,0.0,7.232007903743849,-2.734380706787114
2.0,0.0,7.232019347835646,-0.33201406860352023
3.0,0.0,7.232023162532911,2.070348754882808
4.0,0.0,7.232026977230177,4.472719207763667
